date,
02/12/2016,115.4
05/12/2016,117.43
06/12/2016,117.31
07/12/2016,117.95
08/12/2016,118.91
09/12/2016,119.68
12/12/2016,117.77
13/12/2016,120.31
14/12/2016,120.21
15/12/2016,120.57
16/12/2016,119.87
19/12/2016,119.24
20/12/2016,119.09
21/12/2016,119.04
22/12/2016,117.4
23/12/2016,117.27
27/12/2016,118.01
28/12/2016,116.92
29/12/2016,116.35
30/12/2016,115.05
03/01/2017,116.86
04/01/2017,118.69
05/01/2017,120.67
06/01/2017,123.41
09/01/2017,124.9
10/01/2017,124.35
11/01/2017,126.09
12/01/2017,126.62
13/01/2017,128.34
17/01/2017,127.87
18/01/2017,127.92
19/01/2017,127.55
20/01/2017,127.04
23/01/2017,128.93
24/01/2017,129.37
25/01/2017,131.48
26/01/2017,132.78
27/01/2017,132.18
30/01/2017,130.98
31/01/2017,130.32
01/02/2017,133.23
02/02/2017,130.84
03/02/2017,130.98
06/02/2017,132.06
07/02/2017,131.84
08/02/2017,134.2
09/02/2017,134.14
10/02/2017,134.19
13/02/2017,134.05
14/02/2017,133.85
15/02/2017,133.44
16/02/2017,133.84
17/02/2017,133.53
21/02/2017,133.72
22/02/2017,136.12
23/02/2017,135.36
24/02/2017,135.44
27/02/2017,136.41
28/02/2017,135.54
01/03/2017,137.42
02/03/2017,136.76
03/03/2017,137.17
06/03/2017,137.42
07/03/2017,137.3
08/03/2017,137.72
09/03/2017,138.24
10/03/2017,138.79
13/03/2017,139.6
14/03/2017,139.32
15/03/2017,139.72
16/03/2017,139.99
17/03/2017,139.84
20/03/2017,139.94
21/03/2017,138.51
22/03/2017,139.59
23/03/2017,139.53
24/03/2017,140.34
27/03/2017,140.32
28/03/2017,141.76
29/03/2017,142.65
30/03/2017,142.41
31/03/2017,142.05
03/04/2017,142.28
04/04/2017,141.73
05/04/2017,141.85
06/04/2017,141.17
07/04/2017,140.78
10/04/2017,141.04
11/04/2017,139.92
12/04/2017,139.58
13/04/2017,139.39
17/04/2017,141.42
18/04/2017,140.96
19/04/2017,142.27
20/04/2017,143.8
21/04/2017,143.68
24/04/2017,145.47
25/04/2017,146.49
26/04/2017,146.56
27/04/2017,147.7
28/04/2017,150.25
01/05/2017,152.46
02/05/2017,152.78
03/05/2017,151.8
04/05/2017,150.85
05/05/2017,150.24
08/05/2017,151.06
09/05/2017,150.48
10/05/2017,150.29
11/05/2017,150.04
12/05/2017,150.33
15/05/2017,150.19
16/05/2017,149.78
17/05/2017,144.85
18/05/2017,147.66
19/05/2017,148.06
22/05/2017,148.24
23/05/2017,148.07
24/05/2017,150.04
25/05/2017,151.96
26/05/2017,152.13
30/05/2017,152.38
31/05/2017,151.46
